year,id,Growth,IE,IH,Debt,FDI,INF,POP,TOP,UR,EXR,GR
2000,1,8.14996793,10.13703,51.814198,63.376463,3.9893208,0.050018135,-0.723,61.60926,16.8,0.00701066,-1.1093724
2001,1,9.89019357,10.58193,49.128193,60.609729,5.1070886,3.1075883,-0.43,64.247444,16.4,0.00732332,-1.1093724
2002,1,4.94262296,9.88692,50.85527,64.097401,2.9900312,7.770526,-0.452,65.99146,4.615,0.00747719,-0.6571054
2003,1,5.72810598,10.5736,49.916485,60.239905,3.0686872,0.48400262,-0.572,64.82321,15.175,0.00938262,-0.6637265
2004,1,5.70712308,10.70316,48.34204,57.472884,4.607823,2.2800193,-0.678,65.03794,14.75,0.01079447,-0.4499559
2005,1,5.67025028,11.35797,49.311012,58.199553,3.1789982,2.366582,-0.779,69.116295,14.275,0.00965437,-0.6979427
2006,1,6.6899814,10.93295,49.048504,56.690318,3.553219,2.3707283,-0.876,72.20191,13.905,0.01062248,-0.6153929
2007,1,7.30798263,11.17719,49.40165,53.550124,5.8674035,2.9326825,-0.963,79.9119,13.36,0.01206418,-0.5171955
2008,1,7.73056161,10.66884375,56.23107,55.140209,9.406653,3.3208709,-1.029,75.24855,12.75,0.01137527,-0.4824716
2009,1,3.3851154,10.66884375,56.533817,59.670183,10.90682,2.266922,-1.084,73.32136,13.5625,0.01043732,-0.2900014
2010,1,3.48564809,10.66884375,59.96681,57.710251,9.01745,3.627101,-1.141,75.53253,13.73,0.00961538,-0.2964483
2011,1,2.73953256,10.967223,59.84097,59.399813,8.083293,3.4280713,-0.035,80.699,13.35,0.00929887,-0.2490677
2012,1,2.55453867,11.509857,58.212578,62.119953,7.495975,2.0315926,-0.068,76.96836,13.374,0.00944733,-0.3393566
2013,1,3.28889031,12.12391,57.728825,65.53,9.800359,1.9376208,-0.099,75.75062,15.89425,0.0098174,-0.3564184
2014,1,3.83017023,10.918168,59.18069,70.03,8.648466,1.6258651,-0.164,75.0212,18.09825,0.0086783,0.0801175
2015,1,3.81743447,11.17755,57.340702,72.670075,8.627406,1.8961741,-0.189,71.27945,17.191,0.00794976,0.1835585
2016,1,5.52482598,13.59696,56.51748,72.380043,8.7114725,1.2754316,0.136,74.01445,15.42275,0.00780214,0.1974461
2017,1,4.88935288,12.38521,57.18074,70.119933,7.714113,1.9866613,-0.11,76.787384,13.62025,0.0090009,0.256049
2018,1,5.2835795,10.881732,56.414616,67.610016,7.8310914,2.0280597,-0.167,75.69408,12.30425,0.00927472,0.2684643
